gen_name1,month,Year,Mon,Season,gen_type,gas_type,fuelP,JKM,JKM1,JKM2,JKM3,JKM4,JCC,JCC1,JCC2,JCC3,JCC4,HH,HH1,HH2,HH3,HH4,comtype,Genconame,Opstart,Capacity,Terminalown,Terminal,Longterm,Shortterm,Environapp,Pricecap,Gasprice,time,dum_gen_name1,dum_Season,dum_gen_type,dum_gas_type,dum_comtype,dum_Genconame,Environ,Price_cap,Gasprice_change,dum_gas_type_1,dum_gas_type_2,dum_gas_type_3,_10_Year,dum_Season_2,Mon_2,month_2,new_dum_Season,Year_new_dum_Season,JKM_Buyer_Seller,JKM_Buyer_Seller_2,Capa_interval,Long_Quantity_Level,Short_Quantity_Level,Total_Quantity_Level,Long_Quantity_Ratio,Short_Quantity_Ratio,Every_Quantity,dum_Terminalown,dum_2_Terminalown,dum_gas_type_1_y_Termi,dum_gas_type_1_n_Termi,dum_gas_type_1_y_Price_cap,dum_gas_type_1_n_Price_cap,op_year,op_year_trun,obs,count_101,sb,mean_JKM_Buyer_Seller,com1,com2,com3,com4,com5
GS당진복합 2CC,201501,2015,1,겨울,복합,평균,82.871,9.911,10.062,12.49,14.423,12.826,15.08,15.77,16.4,15.94,15.61,2.95,3.59,4.23,3.81,3.92,민간사,GS,200803,533,,,3089936,777348,,,,1,GS당진복합 2CC,겨울,복합,평균,민간사,GS,0,0,0,0,0,1,20150,2,1,201501,0,1,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,1,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201502,2015,2,겨울,복합,평균,74.254,7.436,9.911,10.062,12.49,14.423,13.43,15.08,15.77,16.4,15.94,2.76,2.95,3.59,4.23,3.81,민간사,GS,200803,533,,,2386391,553477,,,,2,GS당진복합 2CC,겨울,복합,평균,민간사,GS,0,0,0,0,0,1,20150,2,2,201502,0,1,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,2,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201503,2015,3,봄,복합,평균,69.631,7.279,7.436,9.911,10.062,12.49,12.32,13.43,15.08,15.77,16.4,2.74,2.76,2.95,3.59,4.23,민간사,GS,200803,533,,,2530568,336011,,,,3,GS당진복합 2CC,봄,복합,평균,민간사,GS,0,0,0,0,0,1,20150,3,3,201503,0,2,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,3,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201504,2015,4,봄,복합,평균,61.357,7.38,7.279,7.436,9.911,10.062,10.25,12.32,13.43,15.08,15.77,2.58,2.74,2.76,2.95,3.59,민간사,GS,200803,533,,,2074719,405156,,,,4,GS당진복합 2CC,봄,복합,평균,민간사,GS,0,0,0,0,0,1,20150,3,4,201504,0,2,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,4,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201505,2015,5,봄,복합,평균,57.566,7.12,7.38,7.279,7.436,9.911,8.88,10.25,12.32,13.43,15.08,2.87,2.58,2.74,2.76,2.95,민간사,GS,200803,533,,,2097259.6,322429,,,,5,GS당진복합 2CC,봄,복합,평균,민간사,GS,0,0,0,0,0,1,20150,3,5,201505,0,2,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,5,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201506,2015,6,여름,복합,평균,51.065,7.615,7.12,7.38,7.279,7.436,8.69,8.88,10.25,12.32,13.43,2.76,2.87,2.58,2.74,2.76,민간사,GS,200803,533,,,1450670,277697,,,,6,GS당진복합 2CC,여름,복합,평균,민간사,GS,0,0,0,0,0,1,20150,4,6,201506,0,3,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,6,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201507,2015,7,여름,복합,평균,50.942,7.395,7.615,7.12,7.38,7.279,8.95,8.69,8.88,10.25,12.32,2.81,2.76,2.87,2.58,2.74,민간사,GS,200803,533,,,1702673,256647,,,,7,GS당진복합 2CC,여름,복합,평균,민간사,GS,0,0,0,0,0,1,20150,4,7,201507,0,3,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,7,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201508,2015,8,여름,복합,평균,53.197,8.007,7.395,7.615,7.12,7.38,9.15,8.95,8.69,8.88,10.25,2.74,2.81,2.76,2.87,2.58,민간사,GS,200803,533,,,1689581,321977,,,,8,GS당진복합 2CC,여름,복합,평균,민간사,GS,0,0,0,0,0,1,20150,4,8,201508,0,3,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,8,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201509,2015,9,가을,복합,평균,55.937,7.538,8.007,7.395,7.615,7.12,9.62,9.15,8.95,8.69,8.88,2.67,2.74,2.81,2.76,2.87,민간사,GS,200803,533,,,2080844,324844,,,,9,GS당진복합 2CC,가을,복합,평균,민간사,GS,0,0,0,0,0,1,20150,1,9,201509,0,4,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,9,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201510,2015,10,가을,복합,평균,57.494,6.7,7.538,8.007,7.395,7.615,9.5,9.62,9.15,8.95,8.69,2.41,2.67,2.74,2.81,2.76,민간사,GS,200803,533,,,2237392,511336.67,,,,10,GS당진복합 2CC,가을,복합,평균,민간사,GS,0,0,0,0,0,1,20150,1,10,201510,0,4,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,10,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201511,2015,11,겨울,복합,평균,57.244,7.28,6.7,7.538,8.007,7.395,9.04,9.5,9.62,9.15,8.95,2.28,2.41,2.67,2.74,2.81,민간사,GS,200803,533,,,2261968,368874,,,,11,GS당진복합 2CC,겨울,복합,평균,민간사,GS,0,0,0,0,0,1,20150,2,11,201511,0,5,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,11,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201512,2015,12,겨울,복합,평균,57.767,7.397,7.28,6.7,7.538,8.007,8.47,9.04,9.5,9.62,9.15,2.04,2.28,2.41,2.67,2.74,민간사,GS,200803,533,,,2418968,745691,,,,12,GS당진복합 2CC,겨울,복합,평균,민간사,GS,0,0,0,0,0,1,20150,2,12,201512,0,5,0,0,6,26021,5201,31222,83.3,16.7,33371,.,0,0,0,0,0,2008.03,2008,12,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201601,2016,1,겨울,복합,평균,54.258,6.717,7.397,7.28,6.7,7.538,7.81,8.47,9.04,9.5,9.62,2.22,2.04,2.28,2.41,2.67,민간사,GS,200803,533,,,2248044,909412,,,,13,GS당진복합 2CC,겨울,복합,평균,민간사,GS,0,0,0,0,0,1,20160,2,1,201601,0,5,0,0,6,26813,4930,31742,84.5,15.5,34078,.,0,0,0,0,0,2008.03,2008,13,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201602,2016,2,겨울,복합,평균,53.729,5.339,6.717,7.397,7.28,6.7,7.87,7.81,8.47,9.04,9.5,1.93,2.22,2.04,2.28,2.41,민간사,GS,200803,533,,,2337843,583246,,,,14,GS당진복합 2CC,겨울,복합,평균,민간사,GS,0,0,0,0,0,1,20160,2,2,201602,0,5,0,0,6,26813,4930,31742,84.5,15.5,34078,.,0,0,0,0,0,2008.03,2008,14,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201603,2016,3,봄,복합,평균,52.427,4.46,5.339,6.717,7.397,7.28,7.26,7.87,7.81,8.47,9.04,1.8,1.93,2.22,2.04,2.28,민간사,GS,200803,533,,,2729517.6,609281.95,,,,15,GS당진복합 2CC,봄,복합,평균,민간사,GS,0,0,0,0,0,1,20160,3,3,201603,0,6,0,0,6,26813,4930,31742,84.5,15.5,34078,.,0,0,0,0,0,2008.03,2008,15,101,1,0.2376238,0,0,0,0,0
GS당진복합 2CC,201604,2016,4,봄,복합,평균,45.688,4.241,4.46,5.339,6.717,7.397,6.32,7.26,7.87,7.81,8.47,2.01,1.8,1.93,2.22,2.04,민간사,GS,200803,533,,,1784383.6,200190,,,,16,GS당진복합 2CC,봄,복합,평균,민간사,GS,0,0,0,0,0,1,20160,3,4,201604,0,6,0,0,6,26813,4930,31742,84.5,15.5,34078,.,0,0,0,0,0,2008.03,2008,16,101,1,0.2376238,0,0,0,0,0
